[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
3.34455536e+02, 2.78180778e-05
3.42512390e+02, 3.99907604e-02
3.53708862e+02, 8.00067559e-02
3.59414429e+02, 1.20011903e-01
3.64546234e+02, 1.60012156e-01
3.69284149e+02, 2.00009927e-01
3.73443085e+02, 2.40006909e-01
3.77441650e+02, 2.80002922e-01
3.81480896e+02, 3.19998652e-01
3.85557495e+02, 3.59994143e-01
3.89304291e+02, 3.99989367e-01
3.92542389e+02, 4.39984500e-01
3.95640198e+02, 4.79979455e-01
3.98752869e+02, 5.20028412e-01
4.01874451e+02, 5.60024023e-01
4.05067688e+02, 6.00019455e-01
4.08652466e+02, 6.40014827e-01
4.12648315e+02, 6.80010140e-01
4.16646851e+02, 7.20005333e-01
4.20160950e+02, 7.60000646e-01
4.23519928e+02, 7.99995899e-01
4.28235962e+02, 8.39990973e-01
4.33174561e+02, 8.79986227e-01
4.37870941e+02, 9.19981956e-01
4.38975037e+02, 9.59979057e-01
4.37410919e+02, 1.00002360e+00


