[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Axial MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.67599503e+02, 2.78180778e-05
1.77567734e+02, 3.99907604e-02
1.89580872e+02, 8.00067559e-02
1.93345367e+02, 1.20011903e-01
1.96067993e+02, 1.60012156e-01
1.98158569e+02, 2.00009927e-01
2.00452881e+02, 2.40006909e-01
2.02339249e+02, 2.80002922e-01
2.03315094e+02, 3.19998652e-01
2.03932709e+02, 3.59994143e-01
2.04366791e+02, 3.99989367e-01
2.04497528e+02, 4.39984500e-01
2.04527802e+02, 4.79979455e-01
2.04315948e+02, 5.20028412e-01
2.03801697e+02, 5.60024023e-01
2.03220428e+02, 6.00019455e-01
2.02563522e+02, 6.40014827e-01
2.01821259e+02, 6.80010140e-01
2.01008728e+02, 7.20005333e-01
1.99844299e+02, 7.60000646e-01
1.98501755e+02, 7.99995899e-01
1.97822723e+02, 8.39990973e-01
1.96801178e+02, 8.79986227e-01
1.94290207e+02, 9.19981956e-01
1.81382935e+02, 9.59979057e-01
1.70029999e+02, 1.00002360e+00


