[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number in Stn Frame MCA on Hub to Shroud Line,Span Normalized
5.18784881e-01, 2.78180778e-05
5.49128771e-01, 3.99907604e-02
5.85016310e-01, 8.00067559e-02
5.94827890e-01, 1.20011903e-01
6.01519406e-01, 1.60012156e-01
6.06741309e-01, 2.00009927e-01
6.12751842e-01, 2.40006909e-01
6.17878854e-01, 2.80002922e-01
6.20760679e-01, 3.19998652e-01
6.22785568e-01, 3.59994143e-01
6.24574006e-01, 3.99989367e-01
6.25890911e-01, 4.39984500e-01
6.27068222e-01, 4.79979455e-01
6.27804637e-01, 5.20028412e-01
6.27979994e-01, 5.60024023e-01
6.28051817e-01, 6.00019455e-01
6.28009140e-01, 6.40014827e-01
6.27828240e-01, 6.80010140e-01
6.27510905e-01, 7.20005333e-01
6.26434565e-01, 7.60000646e-01
6.24958694e-01, 7.99995899e-01
6.24837637e-01, 8.39990973e-01
6.23461485e-01, 8.79986227e-01
6.16910160e-01, 9.19981956e-01
5.78612149e-01, 9.59979057e-01
5.44989944e-01, 1.00002360e+00


