[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
-2.55565548e+01, 2.78180778e-05
-2.49803848e+01, 3.99907604e-02
-2.28463402e+01, 8.00067559e-02
-1.92726898e+01, 1.20011903e-01
-1.56392479e+01, 1.60012156e-01
-1.18723278e+01, 2.00009927e-01
-7.27155209e+00, 2.40006909e-01
-2.70308542e+00, 2.80002922e-01
1.29902983e+00, 3.19998652e-01
5.07737780e+00, 3.59994143e-01
9.16840744e+00, 3.99989367e-01
1.37044811e+01, 4.39984500e-01
1.83681831e+01, 4.79979455e-01
2.28896561e+01, 5.20028412e-01
2.72400665e+01, 5.60024023e-01
3.14915581e+01, 6.00019455e-01
3.52759552e+01, 6.40014827e-01
3.85675850e+01, 6.80010140e-01
4.18457031e+01, 7.20005333e-01
4.55122910e+01, 7.60000646e-01
4.92898788e+01, 7.99995899e-01
5.19109383e+01, 8.39990973e-01
5.41201172e+01, 8.79986227e-01
5.58730621e+01, 9.19981956e-01
5.70834045e+01, 9.59979057e-01
5.79137459e+01, 1.00002360e+00


