[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number MCA on Hub to Shroud Line,Span Normalized
1.00988686e+00, 2.78180778e-05
1.03768444e+00, 3.99907604e-02
1.07562184e+00, 8.00067559e-02
1.09391594e+00, 1.20011903e-01
1.11000538e+00, 1.60012156e-01
1.12478006e+00, 2.00009927e-01
1.13792825e+00, 2.40006909e-01
1.15059423e+00, 2.80002922e-01
1.16333652e+00, 3.19998652e-01
1.17612469e+00, 3.59994143e-01
1.18780899e+00, 3.99989367e-01
1.19785166e+00, 4.39984500e-01
1.20739460e+00, 4.79979455e-01
1.21693945e+00, 5.20028412e-01
1.22647285e+00, 5.60024023e-01
1.23618817e+00, 6.00019455e-01
1.24725199e+00, 6.40014827e-01
1.25973034e+00, 6.80010140e-01
1.27212310e+00, 7.20005333e-01
1.28267753e+00, 7.60000646e-01
1.29249990e+00, 7.99995899e-01
1.30670595e+00, 8.39990973e-01
1.32142138e+00, 8.79986227e-01
1.33455598e+00, 9.19981956e-01
1.33263493e+00, 9.59979057e-01
1.32338917e+00, 1.00002360e+00


