[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Pressure in Stn Frame MCA on Hub to Shroud Line [ Pa ],Span Normalized
9.33313750e+04, 2.78180778e-05
9.59488906e+04, 3.99907604e-02
9.90651406e+04, 8.00067559e-02
9.96730469e+04, 1.20011903e-01
9.98622500e+04, 1.60012156e-01
1.00028594e+05, 2.00009927e-01
1.00193578e+05, 2.40006909e-01
1.00317766e+05, 2.80002922e-01
1.00391484e+05, 3.19998652e-01
1.00440859e+05, 3.59994143e-01
1.00475383e+05, 3.99989367e-01
1.00497633e+05, 4.39984500e-01
1.00512219e+05, 4.79979455e-01
1.00520813e+05, 5.20028412e-01
1.00524539e+05, 5.60024023e-01
1.00521844e+05, 6.00019455e-01
1.00495953e+05, 6.40014827e-01
1.00446797e+05, 6.80010140e-01
1.00400203e+05, 7.20005333e-01
1.00395391e+05, 7.60000646e-01
1.00438641e+05, 7.99995899e-01
1.00523313e+05, 8.39990973e-01
1.00480625e+05, 8.79986227e-01
1.00097375e+05, 9.19981956e-01
9.75487109e+04, 9.59979057e-01
9.52841797e+04, 1.00002360e+00


