[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Temperature in Stn Frame MCA on Hub to Shroud Line [ K ],Span Normalized
2.88516235e+02, 2.78180778e-05
2.88415161e+02, 3.99907604e-02
2.88290955e+02, 8.00067559e-02
2.88281860e+02, 1.20011903e-01
2.88315979e+02, 1.60012156e-01
2.88360168e+02, 2.00009927e-01
2.88410156e+02, 2.40006909e-01
2.88418213e+02, 2.80002922e-01
2.88351624e+02, 3.19998652e-01
2.88254974e+02, 3.59994143e-01
2.88191895e+02, 3.99989367e-01
2.88176636e+02, 4.39984500e-01
2.88176361e+02, 4.79979455e-01
2.88176056e+02, 5.20028412e-01
2.88175842e+02, 5.60024023e-01
2.88167969e+02, 6.00019455e-01
2.88096680e+02, 6.40014827e-01
2.87958252e+02, 6.80010140e-01
2.87829773e+02, 7.20005333e-01
2.87818604e+02, 7.60000646e-01
2.87908752e+02, 7.99995899e-01
2.87978821e+02, 8.39990973e-01
2.88040100e+02, 8.79986227e-01
2.88119476e+02, 9.19981956e-01
2.88154846e+02, 9.59979057e-01
2.88149811e+02, 1.00002360e+00


