[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
9.78490753e+01, 2.78180778e-05
9.77020645e+01, 3.99907604e-02
9.69993668e+01, 8.00067559e-02
9.57860794e+01, 1.20011903e-01
9.46247559e+01, 1.60012156e-01
9.34803467e+01, 2.00009927e-01
9.21160736e+01, 2.40006909e-01
9.07796173e+01, 2.80002922e-01
8.96325455e+01, 3.19998652e-01
8.85612717e+01, 3.59994143e-01
8.74074860e+01, 3.99989367e-01
8.61375122e+01, 4.39984500e-01
8.48342819e+01, 4.79979455e-01
8.35682144e+01, 5.20028412e-01
8.23470535e+01, 5.60024023e-01
8.11525879e+01, 6.00019455e-01
8.00847855e+01, 6.40014827e-01
7.91506729e+01, 6.80010140e-01
7.82160721e+01, 7.20005333e-01
7.71514130e+01, 7.60000646e-01
7.60436249e+01, 7.99995899e-01
7.52923431e+01, 8.39990973e-01
7.46219330e+01, 8.79986227e-01
7.39556351e+01, 9.19981956e-01
7.22745438e+01, 9.59979057e-01
7.08186264e+01, 1.00002360e+00


