[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Pressure in Stn Frame MCA on Hub to Shroud Line [ Pa ],Span Normalized
9.75267109e+04, -7.46052251e-07
9.92211250e+04, 4.00008485e-02
1.01095195e+05, 8.00007582e-02
1.01271297e+05, 1.20000668e-01
1.01261539e+05, 1.60000488e-01
1.01263813e+05, 2.00000256e-01
1.01283688e+05, 2.40001425e-01
1.01298984e+05, 2.80000925e-01
1.01304813e+05, 3.20000589e-01
1.01305242e+05, 3.60000074e-01
1.01301844e+05, 3.99999619e-01
1.01301328e+05, 4.40000594e-01
1.01304742e+05, 4.80000019e-01
1.01304375e+05, 5.19999444e-01
1.01298273e+05, 5.59999049e-01
1.01289469e+05, 5.99999785e-01
1.01279320e+05, 6.39999151e-01
1.01276016e+05, 6.79998636e-01
1.01279547e+05, 7.19998240e-01
1.01278234e+05, 7.59998083e-01
1.01274109e+05, 7.99998939e-01
1.01285555e+05, 8.39998543e-01
1.01303453e+05, 8.79998565e-01
1.01298867e+05, 9.19998229e-01
9.95885938e+04, 9.59998667e-01
9.78883438e+04, 1.00000072e+00


