[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Isentropic Compression Efficiency MCA on Hub to Shroud Line,Span Normalized
1.00000000e+00, -7.46052251e-07
1.00000000e+00, 4.00008485e-02
1.00000000e+00, 8.00007582e-02
1.00000000e+00, 1.20000668e-01
1.00000000e+00, 1.60000488e-01
1.00000000e+00, 2.00000256e-01
1.00000000e+00, 2.40001425e-01
1.00000000e+00, 2.80000925e-01
1.00000000e+00, 3.20000589e-01
1.00000000e+00, 3.60000074e-01
1.00000000e+00, 3.99999619e-01
1.00000000e+00, 4.40000594e-01
1.00000000e+00, 4.80000019e-01
1.00000000e+00, 5.19999444e-01
1.00000000e+00, 5.59999049e-01
1.00000000e+00, 5.99999785e-01
1.00000000e+00, 6.39999151e-01
1.00000000e+00, 6.79998636e-01
1.00000000e+00, 7.19998240e-01
1.00000000e+00, 7.59998083e-01
1.00000000e+00, 7.99998939e-01
1.00000000e+00, 8.39998543e-01
1.00000000e+00, 8.79998565e-01
9.99999583e-01, 9.19998229e-01
9.99999464e-01, 9.59998667e-01
9.99999762e-01, 1.00000072e+00


