[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.42567764e+02, -7.46052251e-07
1.52680771e+02, 4.00008485e-02
1.64433807e+02, 8.00007582e-02
1.66813965e+02, 1.20000668e-01
1.68273529e+02, 1.60000488e-01
1.69755783e+02, 2.00000256e-01
1.71287415e+02, 2.40001425e-01
1.72775986e+02, 2.80000925e-01
1.74203979e+02, 3.20000589e-01
1.75529465e+02, 3.60000074e-01
1.76761154e+02, 3.99999619e-01
1.78040985e+02, 4.40000594e-01
1.79383118e+02, 4.80000019e-01
1.80592316e+02, 5.19999444e-01
1.81659103e+02, 5.59999049e-01
1.82791656e+02, 5.99999785e-01
1.83988281e+02, 6.39999151e-01
1.85243362e+02, 6.79998636e-01
1.86556274e+02, 7.19998240e-01
1.87869644e+02, 7.59998083e-01
1.89278198e+02, 7.99998939e-01
1.90952606e+02, 8.39998543e-01
1.92900330e+02, 8.79998565e-01
1.95158752e+02, 9.19998229e-01
1.90891968e+02, 9.59998667e-01
1.85391510e+02, 1.00000072e+00


