[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number MCA on Hub to Shroud Line,Span Normalized
4.26665872e-01, -7.46052251e-07
4.58126187e-01, 4.00008485e-02
4.94769454e-01, 8.00007582e-02
5.02293587e-01, 1.20000668e-01
5.06913781e-01, 1.60000488e-01
5.11614084e-01, 2.00000256e-01
5.16476274e-01, 2.40001425e-01
5.21207929e-01, 2.80000925e-01
5.25753736e-01, 3.20000589e-01
5.29978871e-01, 3.60000074e-01
5.33910632e-01, 3.99999619e-01
5.38002491e-01, 4.40000594e-01
5.42299986e-01, 4.80000019e-01
5.46178460e-01, 5.19999444e-01
5.49606562e-01, 5.59999049e-01
5.53250313e-01, 5.99999785e-01
5.57109773e-01, 6.39999151e-01
5.61165452e-01, 6.79998636e-01
5.65415561e-01, 7.19998240e-01
5.69681168e-01, 7.59998083e-01
5.74267149e-01, 7.99998939e-01
5.79728603e-01, 8.39998543e-01
5.86102009e-01, 8.79998565e-01
5.93506277e-01, 9.19998229e-01
5.79954624e-01, 9.59998667e-01
5.62358141e-01, 1.00000072e+00


