[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Temperature ACA on Hub to Shroud Line [ K ],Span Normalized
2.78124786e+02, -7.46052251e-07
2.76554626e+02, 4.00008485e-02
2.74700928e+02, 8.00007582e-02
2.74294006e+02, 1.20000668e-01
2.74050018e+02, 1.60000488e-01
2.73800171e+02, 2.00000256e-01
2.73540039e+02, 2.40001425e-01
2.73285217e+02, 2.80000925e-01
2.73038666e+02, 3.20000589e-01
2.72808228e+02, 3.60000074e-01
2.72592529e+02, 3.99999619e-01
2.72366760e+02, 4.40000594e-01
2.72128357e+02, 4.80000019e-01
2.71912445e+02, 5.19999444e-01
2.71720825e+02, 5.59999049e-01
2.71516357e+02, 5.99999785e-01
2.71299164e+02, 6.39999151e-01
2.71070068e+02, 6.79998636e-01
2.70829407e+02, 7.19998240e-01
2.70588043e+02, 7.59998083e-01
2.70328094e+02, 7.99998939e-01
2.70016907e+02, 8.39998543e-01
2.69653076e+02, 8.79998565e-01
2.69231567e+02, 9.19998229e-01
2.70165894e+02, 9.59998667e-01
2.71330048e+02, 1.00000072e+00


