[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Pressure ACA on Hub to Shroud Line [ Pa ],Span Normalized
8.59187734e+04, -7.46052251e-07
8.57859063e+04, 4.00008485e-02
8.55137500e+04, 8.00007582e-02
8.52378594e+04, 1.20000668e-01
8.49653594e+04, 1.60000488e-01
8.46968750e+04, 2.00000256e-01
8.44324922e+04, 2.40001425e-01
8.41705703e+04, 2.80000925e-01
8.39103828e+04, 3.20000589e-01
8.36635469e+04, 3.60000074e-01
8.34298594e+04, 3.99999619e-01
8.31884063e+04, 4.40000594e-01
8.29373906e+04, 4.80000019e-01
8.27077188e+04, 5.19999444e-01
8.24997500e+04, 5.59999049e-01
8.22765938e+04, 5.99999785e-01
8.20396250e+04, 6.39999151e-01
8.17964219e+04, 6.79998636e-01
8.15474453e+04, 7.19998240e-01
8.12950000e+04, 7.59998083e-01
8.10220625e+04, 7.99998939e-01
8.07098906e+04, 8.39998543e-01
8.03509844e+04, 8.79998565e-01
7.99138906e+04, 9.19998229e-01
7.92925938e+04, 9.59998667e-01
7.89167813e+04, 1.00000072e+00


