[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Mach Number in Stn Frame MCA on Hub to Shroud Line,Span Normalized
6.71796739e-01, 2.05031029e-05
6.69602752e-01, 3.99865434e-02
6.61353350e-01, 7.99938291e-02
6.50484443e-01, 1.19999625e-01
6.42468691e-01, 1.60003632e-01
6.37210250e-01, 2.00006813e-01
6.33702338e-01, 2.40009159e-01
6.31069958e-01, 2.80011445e-01
6.28853321e-01, 3.20013463e-01
6.26918375e-01, 3.60015273e-01
6.26407504e-01, 4.00017202e-01
6.27774537e-01, 4.40018862e-01
6.29781306e-01, 4.80020463e-01
6.32034540e-01, 5.19993007e-01
6.34539068e-01, 5.59994638e-01
6.37204707e-01, 5.99996448e-01
6.40723407e-01, 6.39998198e-01
6.45130992e-01, 6.80000305e-01
6.49937868e-01, 7.20001817e-01
6.56118512e-01, 7.60003567e-01
6.63802624e-01, 8.00005436e-01
6.72828317e-01, 8.40006948e-01
6.81637049e-01, 8.80008996e-01
6.77574456e-01, 9.20010924e-01
6.27781868e-01, 9.60013211e-01
5.85869789e-01, 9.99985456e-01


