[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Isentropic Compression Efficiency MCA on Hub to Shroud Line,Span Normalized
7.42852688e-01, 2.05031029e-05
7.94201791e-01, 3.99865434e-02
8.53244305e-01, 7.99938291e-02
8.63403797e-01, 1.19999625e-01
8.68116856e-01, 1.60003632e-01
8.73552024e-01, 2.00006813e-01
8.80533814e-01, 2.40009159e-01
8.87309551e-01, 2.80011445e-01
8.92695665e-01, 3.20013463e-01
8.97906542e-01, 3.60015273e-01
9.01969314e-01, 4.00017202e-01
9.03918624e-01, 4.40018862e-01
9.05537248e-01, 4.80020463e-01
9.06287909e-01, 5.19993007e-01
9.05682325e-01, 5.59994638e-01
9.04771447e-01, 5.99996448e-01
9.03099656e-01, 6.39998198e-01
9.00624990e-01, 6.80000305e-01
8.97925436e-01, 7.20001817e-01
8.94285083e-01, 7.60003567e-01
8.89065981e-01, 8.00005436e-01
8.80286098e-01, 8.40006948e-01
8.63989532e-01, 8.80008996e-01
8.22992921e-01, 9.20010924e-01
7.10370421e-01, 9.60013211e-01
6.28232062e-01, 9.99985456e-01


