[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Temperature ACA on Hub to Shroud Line [ K ],Span Normalized
3.12478699e+02, 2.05031029e-05
3.08872009e+02, 3.99865434e-02
3.05123230e+02, 7.99938291e-02
3.05033203e+02, 1.19999625e-01
3.05118774e+02, 1.60003632e-01
3.05094360e+02, 2.00006813e-01
3.04928284e+02, 2.40009159e-01
3.04771973e+02, 2.80011445e-01
3.04718567e+02, 3.20013463e-01
3.04705017e+02, 3.60015273e-01
3.04706146e+02, 4.00017202e-01
3.04728088e+02, 4.40018862e-01
3.04756104e+02, 4.80020463e-01
3.04864136e+02, 5.19993007e-01
3.05070007e+02, 5.59994638e-01
3.05305603e+02, 5.99996448e-01
3.05583862e+02, 6.39998198e-01
3.05902100e+02, 6.80000305e-01
3.06249756e+02, 7.20001817e-01
3.06721252e+02, 7.60003567e-01
3.07358276e+02, 8.00005436e-01
3.08281891e+02, 8.40006948e-01
3.09839966e+02, 8.80008996e-01
3.13253693e+02, 9.20010924e-01
3.21343842e+02, 9.60013211e-01
3.27005768e+02, 9.99985456e-01


