[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
-1.34076492e+02, 2.05031029e-05
-1.50217896e+02, 3.99865434e-02
-1.72010818e+02, 7.99938291e-02
-1.81874939e+02, 1.19999625e-01
-1.89885468e+02, 1.60003632e-01
-1.97139923e+02, 2.00006813e-01
-2.03894562e+02, 2.40009159e-01
-2.10182892e+02, 2.80011445e-01
-2.15948242e+02, 3.20013463e-01
-2.21541168e+02, 3.60015273e-01
-2.26632935e+02, 4.00017202e-01
-2.30953384e+02, 4.40018862e-01
-2.35065735e+02, 4.80020463e-01
-2.39025482e+02, 5.19993007e-01
-2.42774185e+02, 5.59994638e-01
-2.46475845e+02, 5.99996448e-01
-2.50083862e+02, 6.39998198e-01
-2.53593903e+02, 6.80000305e-01
-2.57015381e+02, 7.20001817e-01
-2.60001556e+02, 7.60003567e-01
-2.62558411e+02, 8.00005436e-01
-2.64928497e+02, 8.40006948e-01
-2.66781433e+02, 8.80008996e-01
-2.68757324e+02, 9.20010924e-01
-2.73415100e+02, 9.60013211e-01
-2.76823151e+02, 9.99985456e-01


