[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Temperature in Stn Frame MCA on Hub to Shroud Line [ K ],Span Normalized
3.38711334e+02, 2.05031029e-05
3.35178406e+02, 3.99865434e-02
3.31018188e+02, 7.99938291e-02
3.30088562e+02, 1.19999625e-01
3.29587830e+02, 1.60003632e-01
3.29195923e+02, 2.00006813e-01
3.28803833e+02, 2.40009159e-01
3.28494080e+02, 2.80011445e-01
3.28332458e+02, 3.20013463e-01
3.28212463e+02, 3.60015273e-01
3.28202881e+02, 4.00017202e-01
3.28373169e+02, 4.40018862e-01
3.28586334e+02, 4.80020463e-01
3.28896057e+02, 5.19993007e-01
3.29335388e+02, 5.59994638e-01
3.29811432e+02, 5.99996448e-01
3.30397461e+02, 6.39998198e-01
3.31098480e+02, 6.80000305e-01
3.31858032e+02, 7.20001817e-01
3.32859039e+02, 7.60003567e-01
3.34159943e+02, 8.00005436e-01
3.35877319e+02, 8.40006948e-01
3.38275879e+02, 8.80008996e-01
3.41424835e+02, 9.20010924e-01
3.45570740e+02, 9.60013211e-01
3.47949799e+02, 9.99985456e-01


