[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
2.36934875e+02, 2.05031029e-05
2.35045135e+02, 3.99865434e-02
2.31027252e+02, 7.99938291e-02
2.27263153e+02, 1.19999625e-01
2.24537903e+02, 1.60003632e-01
2.22723480e+02, 2.00006813e-01
2.21479767e+02, 2.40009159e-01
2.20535004e+02, 2.80011445e-01
2.19739365e+02, 3.20013463e-01
2.19099182e+02, 3.60015273e-01
2.18965805e+02, 4.00017202e-01
2.19449829e+02, 4.40018862e-01
2.20200104e+02, 4.80020463e-01
2.21055008e+02, 5.19993007e-01
2.21996307e+02, 5.59994638e-01
2.23046265e+02, 5.99996448e-01
2.24397583e+02, 6.39998198e-01
2.26049225e+02, 6.80000305e-01
2.27886414e+02, 7.20001817e-01
2.30246521e+02, 7.60003567e-01
2.33186584e+02, 8.00005436e-01
2.36716400e+02, 8.40006948e-01
2.40421799e+02, 8.80008996e-01
2.40217911e+02, 9.20010924e-01
2.25036163e+02, 9.60013211e-01
2.11790680e+02, 9.99985456e-01


