[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
1.27318527e+02, 2.05031029e-05
1.29048981e+02, 3.99865434e-02
1.31855438e+02, 7.99938291e-02
1.33795288e+02, 1.19999625e-01
1.35385864e+02, 1.60003632e-01
1.36735031e+02, 2.00006813e-01
1.37925858e+02, 2.40009159e-01
1.39016556e+02, 2.80011445e-01
1.40031799e+02, 3.20013463e-01
1.41010269e+02, 3.60015273e-01
1.41878616e+02, 4.00017202e-01
1.42597275e+02, 4.40018862e-01
1.43265625e+02, 4.80020463e-01
1.43914383e+02, 5.19993007e-01
1.44541809e+02, 5.59994638e-01
1.45156891e+02, 5.99996448e-01
1.45715668e+02, 6.39998198e-01
1.46215683e+02, 6.80000305e-01
1.46689804e+02, 7.20001817e-01
1.47077820e+02, 7.60003567e-01
1.47365387e+02, 8.00005436e-01
1.47541946e+02, 8.40006948e-01
1.47704620e+02, 8.80008996e-01
1.48797958e+02, 9.20010924e-01
1.53815399e+02, 9.60013211e-01
1.57854172e+02, 9.99985456e-01


