[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
2.23283295e+02, 2.05031029e-05
2.39912094e+02, 3.99865434e-02
2.59315125e+02, 7.99938291e-02
2.63855530e+02, 1.19999625e-01
2.67508118e+02, 1.60003632e-01
2.71285858e+02, 2.00006813e-01
2.75113312e+02, 2.40009159e-01
2.78758179e+02, 2.80011445e-01
2.82007385e+02, 3.20013463e-01
2.85221954e+02, 3.60015273e-01
2.88257019e+02, 4.00017202e-01
2.90869324e+02, 4.40018862e-01
2.93430603e+02, 4.80020463e-01
2.95876587e+02, 5.19993007e-01
2.98126373e+02, 5.59994638e-01
3.00387634e+02, 5.99996448e-01
3.02741760e+02, 6.39998198e-01
3.05184021e+02, 6.80000305e-01
3.07628540e+02, 7.20001817e-01
3.09847107e+02, 7.60003567e-01
3.11884644e+02, 8.00005436e-01
3.14056580e+02, 8.40006948e-01
3.15598022e+02, 8.80008996e-01
3.14244690e+02, 9.20010924e-01
3.06130951e+02, 9.60013211e-01
2.99767914e+02, 9.99985456e-01


