[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Pressure ACA on Hub to Shroud Line [ Pa ],Span Normalized
1.14675813e+05, 2.05031029e-05
1.15071945e+05, 3.99865434e-02
1.15693188e+05, 7.99938291e-02
1.16069773e+05, 1.19999625e-01
1.16352648e+05, 1.60003632e-01
1.16564875e+05, 2.00006813e-01
1.16699172e+05, 2.40009159e-01
1.16834461e+05, 2.80011445e-01
1.17018219e+05, 3.20013463e-01
1.17220359e+05, 3.60015273e-01
1.17365000e+05, 4.00017202e-01
1.17428344e+05, 4.40018862e-01
1.17471625e+05, 4.80020463e-01
1.17588172e+05, 5.19993007e-01
1.17792906e+05, 5.59994638e-01
1.18018648e+05, 5.99996448e-01
1.18249219e+05, 6.39998198e-01
1.18484641e+05, 6.80000305e-01
1.18730797e+05, 7.20001817e-01
1.19031070e+05, 7.60003567e-01
1.19374898e+05, 8.00005436e-01
1.19701703e+05, 8.40006948e-01
1.20048945e+05, 8.80008996e-01
1.20450859e+05, 9.20010924e-01
1.20958891e+05, 9.60013211e-01
1.21257133e+05, 9.99985456e-01


