[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Axial MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.75358444e+02, 2.05031029e-05
1.83857788e+02, 3.99865434e-02
1.91263596e+02, 7.99938291e-02
1.88770142e+02, 1.19999625e-01
1.86346527e+02, 1.60003632e-01
1.84541382e+02, 2.00006813e-01
1.83121933e+02, 2.40009159e-01
1.81748230e+02, 2.80011445e-01
1.80185104e+02, 3.20013463e-01
1.78617615e+02, 3.60015273e-01
1.77250732e+02, 4.00017202e-01
1.76064667e+02, 4.40018862e-01
1.74978424e+02, 4.80020463e-01
1.73829529e+02, 5.19993007e-01
1.72566864e+02, 5.59994638e-01
1.71317581e+02, 5.99996448e-01
1.70291168e+02, 6.39998198e-01
1.69497009e+02, 6.80000305e-01
1.68787598e+02, 7.20001817e-01
1.68288513e+02, 7.60003567e-01
1.68082916e+02, 8.00005436e-01
1.68372681e+02, 8.40006948e-01
1.68219177e+02, 8.80008996e-01
1.62199646e+02, 9.20010924e-01
1.34551971e+02, 9.60013211e-01
1.12440903e+02, 9.99985456e-01


