[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
1.52776428e+02, 2.05031029e-05
1.40017181e+02, 3.99865434e-02
1.25110611e+02, 7.99938291e-02
1.22253494e+02, 1.19999625e-01
1.21256760e+02, 1.60003632e-01
1.21022972e+02, 2.00006813e-01
1.21289795e+02, 2.40009159e-01
1.22018967e+02, 2.80011445e-01
1.23269157e+02, 3.20013463e-01
1.24695038e+02, 3.60015273e-01
1.26619019e+02, 4.00017202e-01
1.29316010e+02, 4.40018862e-01
1.32222809e+02, 4.80020463e-01
1.35281830e+02, 5.19993007e-01
1.38553772e+02, 5.59994638e-01
1.41871460e+02, 5.99996448e-01
1.45282928e+02, 6.39998198e-01
1.48792130e+02, 6.80000305e-01
1.52389221e+02, 7.20001817e-01
1.56426178e+02, 7.60003567e-01
1.60889282e+02, 8.00005436e-01
1.65536026e+02, 8.40006948e-01
1.70692032e+02, 8.80008996e-01
1.75665222e+02, 9.20010924e-01
1.77821686e+02, 9.60013211e-01
1.77777496e+02, 9.99985456e-01


