[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
4.88235855e+01, 2.05031029e-05
5.26660881e+01, 3.99865434e-02
5.68227577e+01, 7.99938291e-02
5.71068993e+01, 1.19999625e-01
5.70036812e+01, 1.60003632e-01
5.68120995e+01, 2.00006813e-01
5.65569916e+01, 2.40009159e-01
5.62011871e+01, 2.80011445e-01
5.57005081e+01, 3.20013463e-01
5.51577797e+01, 3.60015273e-01
5.45390053e+01, 4.00017202e-01
5.37849617e+01, 4.40018862e-01
5.30014229e+01, 4.80020463e-01
5.21835518e+01, 5.19993007e-01
5.13130455e+01, 5.59994638e-01
5.04389191e+01, 5.99996448e-01
4.95957031e+01, 6.39998198e-01
4.87847900e+01, 6.80000305e-01
4.79778252e+01, 7.20001817e-01
4.71475334e+01, 7.60003567e-01
4.63173485e+01, 8.00005436e-01
4.55829277e+01, 8.40006948e-01
4.47585983e+01, 8.80008996e-01
4.29706650e+01, 9.20010924e-01
3.69919777e+01, 9.60013211e-01
3.23065224e+01, 9.99985456e-01


