[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Temperature in Stn Frame MCA on Hub to Shroud Line [ K ],Span Normalized
2.88127228e+02, 1.09314002e-04
2.88150146e+02, 3.99479307e-02
2.88161255e+02, 8.00011754e-02
2.88149536e+02, 1.20033398e-01
2.88149689e+02, 1.60058096e-01
2.88149414e+02, 2.00080976e-01
2.88149536e+02, 2.39977673e-01
2.88149780e+02, 2.80002594e-01
2.88149872e+02, 3.20025980e-01
2.88150024e+02, 3.60049218e-01
2.88150146e+02, 4.00072336e-01
2.88150238e+02, 4.39973921e-01
2.88150330e+02, 4.79997098e-01
2.88150391e+02, 5.20020485e-01
2.88150421e+02, 5.60043871e-01
2.88150391e+02, 6.00067735e-01
2.88150269e+02, 6.39968395e-01
2.88150208e+02, 6.79992139e-01
2.88150146e+02, 7.20015764e-01
2.88149963e+02, 7.60039985e-01
2.88149780e+02, 8.00064683e-01
2.88149597e+02, 8.39962602e-01
2.88149323e+02, 8.79986882e-01
2.88159454e+02, 9.20011818e-01
2.88145874e+02, 9.60039735e-01
2.88122009e+02, 9.99932408e-01


