[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity Flow Angle MCA on Hub to Shroud Line [ degree ],Span Normalized
9.94753876e+01, 1.09314002e-04
9.85476608e+01, 3.99479307e-02
9.71331558e+01, 8.00011754e-02
9.61232452e+01, 1.20033398e-01
9.50244141e+01, 1.60058096e-01
9.38287506e+01, 2.00080976e-01
9.25804977e+01, 2.39977673e-01
9.13165970e+01, 2.80002594e-01
9.00471954e+01, 3.20025980e-01
8.87782669e+01, 3.60049218e-01
8.75086517e+01, 4.00072336e-01
8.62371216e+01, 4.39973921e-01
8.49657898e+01, 4.79997098e-01
8.37009659e+01, 5.20020485e-01
8.24477844e+01, 5.60043871e-01
8.12250748e+01, 6.00067735e-01
8.00367279e+01, 6.39968395e-01
7.88857727e+01, 6.79992139e-01
7.77788086e+01, 7.20015764e-01
7.67430267e+01, 7.60039985e-01
7.58019714e+01, 8.00064683e-01
7.50337143e+01, 8.39962602e-01
7.44776840e+01, 8.79986882e-01
7.41377945e+01, 9.20011818e-01
7.24725571e+01, 9.60039735e-01
7.09098663e+01, 9.99932408e-01


