[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Velocity in Stn Frame Circumferential MCA on Hub to Shroud Line [ m s^-1 ],Span Normalized
-2.68146420e+01, 1.09314002e-04
-2.57952366e+01, 3.99479307e-02
-2.34535332e+01, 8.00011754e-02
-2.05371170e+01, 1.20033398e-01
-1.70885181e+01, 1.60058096e-01
-1.31564312e+01, 2.00080976e-01
-8.94796848e+00, 2.39977673e-01
-4.59260178e+00, 2.80002594e-01
-1.29504085e-01, 3.20025980e-01
4.36932850e+00, 3.60049218e-01
8.89470482e+00, 4.00072336e-01
1.34462528e+01, 4.39973921e-01
1.80144806e+01, 4.79997098e-01
2.25599060e+01, 5.20020485e-01
2.70564613e+01, 5.60043871e-01
3.14138851e+01, 6.00067735e-01
3.56258011e+01, 6.39968395e-01
3.97274475e+01, 6.79992139e-01
4.36763306e+01, 7.20015764e-01
4.72716560e+01, 7.60039985e-01
5.04526520e+01, 8.00064683e-01
5.30748177e+01, 8.39962602e-01
5.48981094e+01, 8.79986882e-01
5.57907410e+01, 9.20011818e-01
5.70240631e+01, 9.60039735e-01
5.80862007e+01, 9.99932408e-01


