[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Temperature ACA on Hub to Shroud Line [ K ],Span Normalized
2.74805542e+02, 1.09314002e-04
2.72797241e+02, 3.99479307e-02
2.70361023e+02, 8.00011754e-02
2.69635590e+02, 1.20033398e-01
2.69104797e+02, 1.60058096e-01
2.68645142e+02, 2.00080976e-01
2.68205872e+02, 2.39977673e-01
2.67882507e+02, 2.80002594e-01
2.67687134e+02, 3.20025980e-01
2.67534363e+02, 3.60049218e-01
2.67403076e+02, 4.00072336e-01
2.67277283e+02, 4.39973921e-01
2.67155762e+02, 4.79997098e-01
2.67056946e+02, 5.20020485e-01
2.66986023e+02, 5.60043871e-01
2.66953064e+02, 6.00067735e-01
2.66946167e+02, 6.39968395e-01
2.66906799e+02, 6.79992139e-01
2.66851440e+02, 7.20015764e-01
2.66882019e+02, 7.60039985e-01
2.66980591e+02, 8.00064683e-01
2.67030579e+02, 8.39962602e-01
2.67109741e+02, 8.79986882e-01
2.67345276e+02, 9.20011818e-01
2.69788635e+02, 9.60039735e-01
2.72072540e+02, 9.99932408e-01


