[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Total Pressure in Stn Frame MCA on Hub to Shroud Line [ Pa ],Span Normalized
9.61142109e+04, 1.09314002e-04
9.81883438e+04, 3.99479307e-02
1.00479750e+05, 8.00011754e-02
1.00702242e+05, 1.20033398e-01
1.00708953e+05, 1.60058096e-01
1.00729703e+05, 2.00080976e-01
1.00777172e+05, 2.39977673e-01
1.00808273e+05, 2.80002594e-01
1.00813656e+05, 3.20025980e-01
1.00821211e+05, 3.60049218e-01
1.00833586e+05, 4.00072336e-01
1.00839188e+05, 4.39973921e-01
1.00838188e+05, 4.79997098e-01
1.00845273e+05, 5.20020485e-01
1.00859359e+05, 5.60043871e-01
1.00866313e+05, 6.00067735e-01
1.00865273e+05, 6.39968395e-01
1.00861844e+05, 6.79992139e-01
1.00857102e+05, 7.20015764e-01
1.00854203e+05, 7.60039985e-01
1.00853336e+05, 8.00064683e-01
1.00853930e+05, 8.39962602e-01
1.00846516e+05, 8.79986882e-01
1.00737828e+05, 9.20011818e-01
9.80350625e+04, 9.60039735e-01
9.54334063e+04, 9.99932408e-01


