[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Isentropic Compression Efficiency MCA on Hub to Shroud Line,Span Normalized
1.00000000e+00, 1.09314002e-04
1.00000000e+00, 3.99479307e-02
1.00000000e+00, 8.00011754e-02
1.00000000e+00, 1.20033398e-01
1.00000000e+00, 1.60058096e-01
1.00000000e+00, 2.00080976e-01
1.00000000e+00, 2.39977673e-01
1.00000000e+00, 2.80002594e-01
1.00000000e+00, 3.20025980e-01
1.00000000e+00, 3.60049218e-01
1.00000000e+00, 4.00072336e-01
1.00000000e+00, 4.39973921e-01
1.00000000e+00, 4.79997098e-01
1.00000000e+00, 5.20020485e-01
1.00000000e+00, 5.60043871e-01
1.00000000e+00, 6.00067735e-01
1.00000000e+00, 6.39968395e-01
1.00000000e+00, 6.79992139e-01
1.00000000e+00, 7.20015764e-01
9.99999881e-01, 7.60039985e-01
9.99999762e-01, 8.00064683e-01
9.99999762e-01, 8.39962602e-01
9.99999940e-01, 8.79986882e-01
1.00000000e+00, 9.20011818e-01
1.00000000e+00, 9.60039735e-01
1.00000000e+00, 9.99932408e-01


