[Name]
Hub to Shroud Chart Line at Hub to Shroud Line

[Data]
Pressure ACA on Hub to Shroud Line [ Pa ],Span Normalized
8.08307891e+04, 1.09314002e-04
8.06546094e+04, 3.99479307e-02
8.02162500e+04, 8.00011754e-02
7.96527813e+04, 1.20033398e-01
7.91148125e+04, 1.60058096e-01
7.86657656e+04, 2.00080976e-01
7.82570391e+04, 2.39977673e-01
7.79500156e+04, 2.80002594e-01
7.77516250e+04, 3.20025980e-01
7.75986563e+04, 3.60049218e-01
7.74721719e+04, 4.00072336e-01
7.73449297e+04, 4.39973921e-01
7.72168594e+04, 4.79997098e-01
7.71190625e+04, 5.20020485e-01
7.70563672e+04, 5.60043871e-01
7.70252969e+04, 6.00067735e-01
7.70135625e+04, 6.39968395e-01
7.69666406e+04, 6.79992139e-01
7.69017344e+04, 7.20015764e-01
7.69227969e+04, 7.60039985e-01
7.70116563e+04, 8.00064683e-01
7.70494531e+04, 8.39962602e-01
7.71008750e+04, 8.79986882e-01
7.71878125e+04, 9.20011818e-01
7.70334297e+04, 9.60039735e-01
7.68479063e+04, 9.99932408e-01


